killer,perk
Trapper,Unnerving Presence
Trapper,Brutal Strength
Trapper,Agitation
Wraith,Predator
Wraith,Bloodhound
Wraith,Shadowborn
Hillbilly,Enduring
Hillbilly,Lightborn
Hillbilly,Tinkerer
Nurse,Stridor
Nurse,Thanatophobia
Nurse,A Nurse's Calling
Shape,Save the Best for Last
Shape,Play with Your Food
Shape,Dying Light
Hag,Hex: Third Seal
Hag,Hex: Ruin
Hag,Hex: Devour Hope
Doctor,Overwhelming Presence
Doctor,Monitor & Abuse
Doctor,Overcharge
Huntress,Beast of Prey
Huntress,Territorial Imperative
Huntress,Hex: Huntress Lullaby
Cannibal,Knock Out
Cannibal,Barbecue & Chilli
Cannibal,Franklin's Demise
Nightmare,Fire Up
Nightmare,Remember Me
Nightmare,Blood Warden
Pig,Hangman's Trick
Pig,Surveillance
Pig,Make Your Choice
Clown,Bamboozle
Clown,Coulrophobia
Clown,Pop Goes the Weasel
Spirit,Spirit Fury
Spirit,Hex: Haunted Ground
Spirit,Rancor
Legion,Discordance
Legion,Mad Grit
Legion,Iron Maiden
Plague,Corrupt Intervention
Plague,Infectious Fright
Plague,Dark Devotion
Ghost Face,I'm All Ears
Ghost Face,Thrilling Tremors
Ghost Face,Furtive Chase
Demogorgon,Surge
Demogorgon,Mindbreaker
Demogorgon,Cruel Limits
Oni,Zanshin Tactics
Oni,Blood Echo
Oni,Nemesis
Deathslinger,Gearhead
Deathslinger,Dead Man's Switch
Deathslinger,Hex: Retribution
Executioner,Forced Penance
Executioner,Trail of Torment
Executioner,Deathbound
Blight,Dragon's Grip
Blight,Hex: Blood Favour
Blight,Hex: Undying
Twins,Hoarder
Twins,Oppression
Twins,Coup de Grâce
Trickster,Starstruck
Trickster,Hex: Crowd Control
Trickster,No Way Out
Nemesis,Lethal Pursuer
Nemesis,Hysteria
Nemesis,Eruption
Cenobite,Deadlock
Cenobite,Hex: Plaything
Cenobite,Scourge Hook: Gift of Pain
Artist,Grim Embrace
Artist,Scourge Hook: Pain Resonance
Artist,Hex: Pentimento
Onryō,Call of Brine
Onryō,Scourge Hook: Floods of Rage
Onryō,Merciless Storm
Dredge,Dissolution
Dredge,Darkness Revealed
Dredge,Septic Touch
Mastermind,Superior Anatomy
Mastermind,Awakened Awareness
Mastermind,Terminus
Knight,Nowhere to Hide
Knight,Hex: Face the Darkness
Knight,Hubris
Skull Merchant,THWACK!
Skull Merchant,Leverage
Skull Merchant,Game Afoot
Singularity,Genetic Limits
Singularity,Forced Hesitation
Singularity,Machine Learning
Xenomorph,Rapid Brutality
Xenomorph,Alien Instinct
Xenomorph,Ultimate Weapon
Good Guy,Hex: Two Can Play
Good Guy,Friends 'til the End
Good Guy,Batteries Included
Unknown,Unbound
Unknown,Undone
Unknown,Unforeseen
Lich,Weave Attunement
Lich,Languid Touch
Lich,Dark Arrogance
Dark Lord,Human Greed
Dark Lord,Dominance
Dark Lord,Hex: Wretched Fate
Houndmaster,All-Shaking Thunder
Houndmaster,No Quarter
Houndmaster,Scourge Hook: Jagged Compass
Krasue,Hex: Overture of Doom
Krasue,Ravenous
Krasue,Wandering Eye
Animatronic,Help Wanted
Animatronic,Phantom Fear
Animatronic,Haywire
Ghoul,Hex: Nothing But Misery
Ghoul,Forever Entwined
Ghoul,None Are Free
First,Turn Back The Clock
First,Secret Project
First,Hex: Hive Mind
Slasher,Hex: Scared to Death
Slasher,Silent Shadow
Slasher,Rampage
,Bitter Murmur
,Deerstalker
,Distressing
,Hex: No One Escapes Death
,Hex: Thrill of the Hunt
,Insidious
,Iron Grasp
,Scourge Hook: Monstrous Shrine
,Shattered Hope
,Sloppy Butcher
,Spies from the Shadows
,Unrelenting
,Whispers
